Always equal to ACS Summary File identification,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Block Group,Area Name,Qualifying Name,FIPS,Area (Land),Area (Water),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More","% Households: Less than $10,000","% Households: $10,000 to $14,999","% Households: $15,000 to $19,999","% Households: $20,000 to $24,999","% Households: $25,000 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $44,999","% Households: $45,000 to $49,999","% Households: $50,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 to $199,999","% Households: $200,000 or More"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_NAME,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
ACSSF,ga,150,0,13,89,20100,1,Block Group 1,"Block Group 1, Census Tract 201, DeKalb County, Georgia",130890201001,652380,6572,1414,1331,30,0,12,0,4,37,94.13,2.12,0,0.85,0,0.28,2.62,481,6,8,0,38,22,10,0,6,0,9,40,18,89,42,49,144,1.25,1.66,0,7.9,4.57,2.08,0,1.25,0,1.87,8.32,3.74,18.5,8.73,10.19,29.94
ACSSF,ga,150,0,13,89,20100,2,Block Group 2,"Block Group 2, Census Tract 201, DeKalb County, Georgia",130890201002,424043,3943,784,693,11,0,50,0,0,30,88.39,1.4,0,6.38,0,0,3.83,249,0,6,0,0,13,0,0,0,0,0,0,24,6,16,41,143,0,2.41,0,0,5.22,0,0,0,0,0,0,9.64,2.41,6.43,16.47,57.43
ACSSF,ga,150,0,13,89,20200,1,Block Group 1,"Block Group 1, Census Tract 202, DeKalb County, Georgia",130890202001,1014395,0,763,672,21,0,22,0,0,48,88.07,2.75,0,2.88,0,0,6.29,391,8,34,0,0,0,0,0,0,0,46,24,25,33,14,39,168,2.05,8.7,0,0,0,0,0,0,0,11.76,6.14,6.39,8.44,3.58,9.97,42.97
ACSSF,ga,150,0,13,89,20200,2,Block Group 2,"Block Group 2, Census Tract 202, DeKalb County, Georgia",130890202002,513798,0,1197,832,42,0,250,0,7,66,69.51,3.51,0,20.89,0,0.58,5.51,689,32,0,22,9,0,21,0,56,20,47,72,111,22,8,71,198,4.64,0,3.19,1.31,0,3.05,0,8.13,2.9,6.82,10.45,16.11,3.19,1.16,10.3,28.74
ACSSF,ga,150,0,13,89,20300,1,Block Group 1,"Block Group 1, Census Tract 203, DeKalb County, Georgia",130890203001,487107,0,830,688,29,0,62,0,0,51,82.89,3.49,0,7.47,0,0,6.14,303,0,0,0,5,0,0,0,0,0,8,11,50,30,29,50,120,0,0,0,1.65,0,0,0,0,0,2.64,3.63,16.5,9.9,9.57,16.5,39.6
ACSSF,ga,150,0,13,89,20300,2,Block Group 2,"Block Group 2, Census Tract 203, DeKalb County, Georgia",130890203002,615965,0,1432,1083,131,0,0,0,99,119,75.63,9.15,0,0,0,6.91,8.31,490,0,0,0,0,0,0,11,11,0,23,0,106,7,17,125,190,0,0,0,0,0,0,2.24,2.24,0,4.69,0,21.63,1.43,3.47,25.51,38.78
ACSSF,ga,150,0,13,89,20300,3,Block Group 3,"Block Group 3, Census Tract 203, DeKalb County, Georgia",130890203003,814694,0,2242,1714,232,0,53,0,38,205,76.45,10.35,0,2.36,0,1.69,9.14,763,15,9,26,10,17,0,0,5,28,55,21,40,45,94,137,261,1.97,1.18,3.41,1.31,2.23,0,0,0.66,3.67,7.21,2.75,5.24,5.9,12.32,17.96,34.21
ACSSF,ga,150,0,13,89,20400,1,Block Group 1,"Block Group 1, Census Tract 204, DeKalb County, Georgia",130890204001,621348,0,1551,1284,70,0,50,0,9,138,82.79,4.51,0,3.22,0,0.58,8.9,644,13,0,15,33,0,7,9,0,19,56,29,63,47,31,50,272,2.02,0,2.33,5.12,0,1.09,1.4,0,2.95,8.7,4.5,9.78,7.3,4.81,7.76,42.24
ACSSF,ga,150,0,13,89,20400,2,Block Group 2,"Block Group 2, Census Tract 204, DeKalb County, Georgia",130890204002,390961,0,1158,967,14,0,87,0,8,82,83.51,1.21,0,7.51,0,0.69,7.08,560,0,0,0,9,11,13,0,0,0,36,54,52,31,41,64,249,0,0,0,1.61,1.96,2.32,0,0,0,6.43,9.64,9.29,5.54,7.32,11.43,44.46
